,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,id,mood
46,0.0624,0.0924,66.675,0.0333,0.241,0.827,0.204,96000,-22.01,0.0433,0QPZOS0GApHTXjPb7tfYD0,Relaxing
47,0.0694,0.108,142.344,0.0434,0.992,0.912,0.328,86667,-17.241,0.109,4fHrHHpb3hY6dkcRORxXwu,Relaxing
48,0.186,0.125,76.264,0.0337,0.887,0.898,0.149,94648,-25.13,0.0803,0C8rPEfM8lZA05al27k0Pq,Relaxing
49,0.215,0.112,67.083,0.0343,0.335,0.704,0.185,86956,-21.685,0.0357,45zotayJfPuVrGN6L7TmZh,Relaxing
50,0.0358,0.108,74.164,0.042,0.869,0.857,0.181,90811,-21.023,0.0646,3HvO0bTIyAMYyHbY1vD9aA,Relaxing
51,0.108,0.123,76.859,0.037,0.628,0.754,0.225,82286,-25.79,0.0399,3wBTiLb3ddU35dm2SNh4MW,Relaxing
52,0.041,0.07,70.038,0.0362,0.978,0.895,0.318,95143,-30.126,0.0415,4G0GaPSZViJnrXRpRFxxFh,Relaxing
53,0.0865,0.115,69.782,0.0379,0.895,0.575,0.21,88421,-25.304,0.0489,11x57xUo3O5NQV5MLGD6zw,Relaxing
54,0.127,0.0991,98.991,0.0376,0.956,0.771,0.233,91139,-21.851,0.0884,3v3EPJT1PIQQ3DICeBLpxH,Relaxing
55,0.139,0.0863,70.073,0.0313,0.826,0.867,0.329,96000,-23.53,0.0375,1GvBcoKn7J7swaqVPcowan,Relaxing
56,0.0477,0.108,73.003,0.0346,0.397,0.69,0.264,98630,-27.346,0.0659,4eW9R3LYXbSPWXrEnUPKdi,Relaxing
57,0.0467,0.115,80.01,0.0507,0.93,0.785,0.748,99000,-20.727,0.301,5KRryMDFDbpn9r8TjfT2MH,Relaxing
58,0.138,0.105,77.697,0.0431,0.821,0.967,0.0703,108169,-23.644,0.0365,0lgujOKZxSa241uY8kWp7Y,Relaxing
59,0.104,0.13,91.329,0.0392,0.766,0.95,0.202,114930,-24.698,0.0909,3UYbzEmEKYCix4Mo7OXKqh,Relaxing
60,0.0953,0.104,139.474,0.046,0.784,0.823,0.145,96000,-23.818,0.075,5TeHL0ZEbwCsyax3wQTcVC,Relaxing
61,0.135,0.0825,139.186,0.0363,0.881,0.96,0.215,89143,-23.64,0.0348,31NKBW5ZpOUqCewtOwgN5T,Relaxing
62,0.0682,0.0888,69.968,0.0346,0.957,0.7,0.356,113143,-25.079,0.037,6O5ehFKzr9z2m6FhpivQQj,Relaxing
63,0.168,0.151,71.795,0.0361,0.934,0.806,0.11,106286,-22.321,0.0391,44kSmjN9DIwTJoMBHHEnDM,Relaxing
64,0.189,0.11,140.161,0.0396,0.891,0.948,0.276,116571,-21.931,0.0538,4wISOt1Hp1lkj2dCkipWhy,Relaxing
65,0.206,0.111,69.645,0.0398,0.793,0.929,0.279,106286,-23.779,0.0392,7jHyMwv86JfAoBgALjZbwM,Relaxing
66,0.281,0.0954,64.456,0.0508,0.942,0.903,0.26,92800,-17.586,0.0366,4tP48zuROIWLULwtFmWOIu,Relaxing
67,0.125,0.1,70.059,0.0396,0.941,0.969,0.455,89143,-18.567,0.169,3n7E6nMZXWpWqQoQuJ33SH,Relaxing
68,0.156,0.106,79.857,0.0283,0.887,0.907,0.351,84000,-21.413,0.0397,05hc5PiLZ77HU7Gz8TawgK,Relaxing
69,0.00746,0.121,75.499,0.0473,0.983,0.877,0.353,84444,-26.188,0.0916,19t5Le0ny4yXMDpvevhsrV,Relaxing
70,0.166,0.108,141.003,0.0406,0.954,0.9,0.209,101408,-18.535,0.0904,5D6GS8BXf1BBEPtGQpdIsz,Relaxing
71,0.117,0.107,72.564,0.0343,0.847,0.909,0.155,93333,-19.878,0.0424,2NDFlDpAIDF5G8DYDZv5GV,Relaxing
72,0.116,0.103,71.553,0.0429,0.895,0.735,0.134,98028,-24.784,0.0336,0ZbXIvAR19BGZGc8zafdhl,Relaxing
73,0.192,0.109,48.013,0.0403,0.776,0.991,0.0954,96000,-21.27,0.0345,2zuk45iwW1IhxqpwU9FZjl,Relaxing
74,0.158,0.112,114.691,0.0341,0.926,0.932,0.171,90000,-24.269,0.051,2SMJJ2Mwll31SQZYZMza7h,Relaxing
75,0.0669,0.0629,64.645,0.0408,0.855,0.904,0.231,92055,-28.672,0.0423,23XlKw4XQXL4ZcYU3T2CHy,Relaxing
76,0.13,0.0862,175.74,0.0425,0.778,0.94,0.0927,96667,-27.874,0.0612,2tJcIuKcJyeqDZw983PIP0,Relaxing
77,0.0869,0.0984,62.819,0.0408,0.896,0.973,0.185,96667,-24.648,0.0373,4fnJE1cthnmrDzCcwiNjBV,Relaxing
78,0.175,0.103,91.119,0.0393,0.852,0.954,0.198,126575,-22.329,0.0474,37cfHEoArRTf7AxGpV9Oc2,Relaxing
79,0.108,0.11,71.252,0.0445,0.887,0.883,0.166,90000,-25.641,0.04,5aRaDpIXDKzkY6tOEPGV6b,Relaxing
80,0.239,0.0668,71.886,0.0495,0.959,0.994,0.286,116571,-21.11,0.0392,4qcuA5PtGFrXNBBJwQsgSI,Relaxing
81,0.199,0.131,73.606,0.0336,0.765,0.883,0.128,116757,-20.768,0.0453,2Altc136d7c4gZwdiUgk58,Relaxing
82,0.179,0.0892,128.165,0.0351,0.935,0.859,0.214,98028,-19.328,0.0392,2BRtJnsP6lHRouBThr1wUf,Relaxing
83,0.0717,0.0696,72.244,0.0429,0.975,0.948,0.195,93333,-26.142,0.0358,2Jdyt9OxI3CEA50ZwSpm22,Relaxing
